Hotel_name,name,rating,review
Hotel Mercure Jakarta Gatot Subroto,Yanee W,5.0,"Enjoyed our 2 nights at the Executive Suite. Room is very spacious, clean and adequate. I love how the room has full length mirror everywhere.
Breakfast spread is only ok. Food quality needs improvement. Service is good, no complaint. Thank you to Mira for taking care of us during breakfast.

Rooms: The Suite room is spacious, clean and has nice city view. Bathroom has nice bathtub with great view!"
Hotel Mercure Jakarta Gatot Subroto,Alfathania Syakura,5.0,"The room was amazing!!! We got an executive suite and the view was great! I had such a good night sleep there! We had breakfast in the hotel too! Mira was so nice! The milk was empty so I asked her if she can refill the milk and she personally send a glass of milk to my table. Besides, she could speak english so it’s easier for us to communicate what we want. Altho food quality still need a lot of improvement, I still enjoyed my breakfast here because of the service :)"
Hotel Mercure Jakarta Gatot Subroto,Mutia Aulia,5.0,"Having a great experience while staying here. The meeting room are so confy. Room is suitable and have a great view. Smells good also. Breakfast has many variance and taste good. All staff are helpfull especially ms Mira, shes kind and charming"
Hotel Mercure Jakarta Gatot Subroto,Ali Wafdi,5.0,"We enjoyed our stay at this hotel. The room was very well appointed, had a great view and the bed is comfortable. The staff is very helpful and responsive. On our first day, our room neighbors had 2 rooms and they were making so much noise in the hallway from 4:45am to 7am that it woke us up. The receptionist handled the situation very well and agreed to change our room. The only con I can see with the rooms is that you can hear your neighbor's room bell, which might bother you. We will definitely be back!"
Hotel Mercure Jakarta Gatot Subroto,Nadia Ladesma,5.0,"I had a great experience staying here. We only stayed for one night but it was a cozy and warm place to stay. The breakfast was excellent as it has variety of choices from western food to Indonesian food. The room was spacious, however I think the bathroom matt should be a bit thicker as it was so quick to get soaked. Overall, we had a nice stay here and would love to come again."
Hotel Mercure Jakarta Gatot Subroto,Felicia,5.0,"Xmas eve dinner at white rock, ordering their pasta and it’s taste really good. We also tried dragon sushi roll with prawn inside and unagi on top, the unagi really soft and tender. Last, Their service also awesome especially Mira. Thank you white rock."
Hotel Mercure Jakarta Gatot Subroto,Toh Heng Fatt,1.0,"What a rubbish Wi-fi in the room, i have been stay here for couple months, i have also complaint to the management so many times. They are still not trying to improve their Wi-fi quality. If you plan to working in this Hotel. Please think twice!! Besides that, the breakfast taste very bad, most of the time just repeating with the same breakfast, no new idea at all. Other than that, everything is fine."
Hotel Mercure Jakarta Gatot Subroto,Yessie,5.0,"Stayed here for 2 nights and have no complaints! The room is clean and spacious. Never had the chance to try the breakfast but my friend who's with me said it was good!

Also had a body glow massage at Alaya. My therapist, Diana, is good and i really enjoyed it.

Will definitely recommend it!"
Hotel Mercure Jakarta Gatot Subroto,Eileen Tam,5.0,"Front desk: Staff was very courteous, clear in explanation, helpful to make room arrangements; as best as they could to accommodate changes.
Room: Comfortable bedding, clean toilet and shower.
There was a faulty (flickering) light, which the technicians were very prompt to assist.
Just 1 thing which the hotel can consider for improvement: The hairdryer provided was of low wattage (not hot enough). But I understand that this is just a personal preference. :)
Thanks, Mercure Jakarta Gotot Subroto!"
Hotel Mercure Jakarta Gatot Subroto,Timora Wijayanto,5.0,"Nice experience staying for business trip in this hotel. Strategic location in the city. The room is spacious, neat and comfortable. Good food with several in-house resto and cafes. Nice gestures from one of the staff mbak Mira during breakfast time. It's just satisfying."
