Mall_name,name,rating,review
Blok M Square,Lav,5.0,"I spent almost the entire day wandering through different levels of this place.The sight of so many tailors amazed me. Most of the people were quite friendly if you got lost and needed to ask for directions.

Tip: Restrooms are completely eastern - so carry toilet paper!"
Blok M Square,Jeremy Mseitif,3.0,Nice Mall with few old shops surrounding it. Most importantly on the top floor is Masjid Al Latif Also Masjid Nurul Iman with a Kabah replica on the 7th floor.  Some food court area on the bottom but not that large.
Blok M Square,Agnes Szegedi,5.0,If you want the full Indonesian experience visit Friday night you won’t get disappointed. Very busy very noisy very smelly very Indonesia.   
Blok M Square,La Umang,4.0,"The mall is fine, you can find a clothes or just food. There is a food court in the basement of thr mall. Unfortunately there is no direct access to the mrt station. You need to walk through the bad pedestrian area. Buta still it's near by the station."
Blok M Square,Dimas Jayasrana,4.0,"This is the place if you want to have a sum up of Jakarta's youngster hype. It has several food and beverage tenant, with various quality; from Ok to Good. Nothing remarkable yet (well, to be fair, some tenant that provide coffee, they're good).

What's special from this place is their event venues. Basically all creative event and activities can be held at M Bloc Space. Music (with various genres), film, games, dance, and so on.

Come here if you need to stimulate your creativity."
Blok M Square,Andre Gemalasatria Lolong,4.0,"In B1 level you’ll find many used books, comics, magazines, literatures.. And for vintage collectors, you’ll love used cassettes, And CDs shop"
Blok M Square,Khansanaila,4.0,"I went book thrifting here and mostly the books are good. Just have to be careful cause some of the book is an illegal copy specially novels, but good if you're looking for comics or history books. You can do negotiation with the seller to lower the price. The foodcourt in the kind of food festival (?) Is good too. I recommend the corndog also the sandwich Ice cream, worth the price!"
Blok M Square,Stephanie Zhang,5.0,"A shopping area with a wide selection of economical clothes and street food, as well as many Japanese restaurants.
Recently an Asian cuisines carnival is held."
Blok M Square,Bryan R,5.0,"The mall is surrounding by many restaurants especially Japanese restaurants,

Inside the mall you can find some second book stores on lower ground.

The mall mostly has cheap brand or local brand with lower price and other big mall in Jakarta.

In parking area normally they will have some event depending the month."
Blok M Square,Tirta Yansen,4.0,"Old building and has been around for many years, but you can still find pretty much find anything you want here for a fairly cheap price.
You can even find some old original vintage music CD or books, etc.
There are lots of restaurant and cafee near the building, and its always crowded with the South Jakarta. youngsters."
Blok M Square,Jay Ann,4.0,"I just knew, in Basement, there are lots of 2nd hand books with good selections & still in good conditions         "
Blok M Square,mahesh k,5.0,Good place for shopping at very reasonable rates.
Blok M Square,edsus edsus,4.0,Nice mall. Tenants and vendors are quietly complete for daily and advance needs. Has big mosque in top floor. Parking area is large and available in building and open space around the mall.
Blok M Square,sfn home,3.0,"Nice kids playgrounds inside the mall
Clothing for different budgets and tastes
Building need more maintenance and lightning"
Blok M Square,Yopi Emzita,3.0,"Moderate Shopping Mall,With reasonable price.
Regularly Organized an event n Bazar with thematic product or Food &Baverage.

Recent event in November was ""Minang Culture& Food Festival.
It was held during the weekend.
Delicious Food,Drink....Desserts From West Sumatra Served here.
Musical ,dancing and Traditional instrument were Performed.

Huge Crowed.....well informed through Social med.

Was a  BIG SUCCESS...

Well Done Organizer."
Blok M Square,Hawaii Bule,5.0,"If you can't find what you are looking for you are not looking hard enough haha. This place is huge. The basement has so many textile and tailor. I got lost many times, but it was well worth it. Too many things to see and it was inexpensive. The food outside is definitely worth it if not to just get out of Jakarta jam"
Blok M Square,Mick C,3.0,"Old fashioned mall, more for the locals. A few brand name knock off's. The food court is pretty basic, but still cheap and delicious. We ordered the dim sum"
Blok M Square,Rodrigo Gallego,4.0,"A local shopping mall frequented by Jakarta residents. You can find a variety of things ranging from clothes, handbags, and jewelry. You can also have clothes made or items sewn in the lower floor for a very reasonable cost."
Blok M Square,Ratri Ismayasti,5.0,"Go to the basement floor and you can find plenty amazing preloved-book stores! Each children book or novel only 10,000 IDR! Little heaven for my-like reading so much-son :) Preloved Cassettes, CD, LD, and even the oldschool-player are also available here ^^"
Blok M Square,rizcy hp,4.0,"The place is strategic and its nice to bring your family here. There are many kind of street foods in front of mall. There are bookstore, sim corner and gerai samsat at the basement, and the good things about this mall is mosque on the rooftop. So the visitors can do the praying comfortably."
Blok M Square,Ahmad Suhaimi,4.0,"Blok M is an area that is the culinary center for Jakarta residents. One of the famous culinary delights in this area is gultik, aka bend curry. In this place, there are at least 3 famous Blok M Gultik and worth tasting. The three gultik places are always crowded with visitors every day"
Blok M Square,Restu Puji Lestari,5.0,One of the Mall in Blok M kinda old but nice. With a big Masjid on rooftop and culinary food at night in front of Fave hotel. And MRT Station near by.
Blok M Square,Ayunda Rahmani Khoirunnissa,3.0,"The shopping mall was very basic, but you could find an authentic traditional food branch from another city in its food-court."
Blok M Square,deepak kumar,3.0,Good for local clothes shopping and it's well known for vintage audio systems .can buy used vintage LP and turntables etc great place for that
Blok M Square,Kris Trimoeljo,5.0,"For Jakarta residents, Consider to visit XAG auto if you look for used cars. Buying a car is big expense and you want to make sure you do not make wrong choice.  This auto shop is run by trustworthy and passionate people who really like cars. The location is at Blok M Square parking."
Blok M Square,Berda Drata,5.0,"Quite a maze, it is packed with merchant selling all kind of clothes. There is a very luxurious mosque at the top level of this mall."
Blok M Square,Geowana Yuka,4.0,"Old Style business district in south of Jakarta. You can find many good foods and hangout places here. It is also called ""A Little Tokyo"" because there are many Japanese resto and spa around here."
Blok M Square,Martin Djamin,5.0,"Blok M is a mall in south Jakarta, however you can extend your driving permit and STNK in the gerai samsat which located at 3a floor of Blok M Square."
Blok M Square,Pangihutan Marpaung,4.0,"I love and enjoyable ataknese food at the basement, althougt the place rather crowded at lunch time"
Blok M Square,adiputra singgih,3.0,"The food on the food court at the basement are great, but do not expect a clean area, or do not expect as clean as typical Singaporean food court. The second hands book market and also second hands music market are also a great place for treasure hunting, although the records are quite expensive."
Pacific Place Mall,alexander hartawan,5.0,Still my favorite place to hangout whenever close to SCBD area. Easy to find taxi or grab car. Many food to choose and shopping store. The upper class vibes. And the ship statue area nice for photo and meeting point.
Pacific Place Mall,Dian Christian,5.0,"This Mall placed in the Office Distric SCBD area, you can easily find in google maps. Cozy place and has so many food court.

We have event here @America, one of the part of Pasific Place Mall. The Event held by AmCharm for 7th Career fair.

The place quite small but good enough for the event, they provide a mock interview space, sharing space, all Company booth to present the Company brand."
Pacific Place Mall,Stephanie Zhang,5.0,"The first time I went to Pacific Place Mall was in Feb 2020, the photos were taken at that time, when I didn’t expect that I would be assigned to South Jakarta to work.

Now every weekday I would pass this mall.
The mall provides a wide range of branded products, the supermarket also provided imported goods.

Sometimes my colleagues go to the canteen of pacific place mall for lunch."
Pacific Place Mall,Yi Ling,4.0,"Came here to explore around as a tourist, and it is very much a high-end shopping mall for branded goods and a wide array of dining options. Love the architecture of the building such that it tapers upwards and caters to the interests of all age groups. There is even a kidzania, movie theatre and lots of cafes to dine, shop, and play at."
Pacific Place Mall,rasanka rp,4.0,"One of the best shopping mall in jakarta area.recommended for have a meal than shopping since there are really good restaurants.prices are bit higher than the average.also since it is closer to some offices ,restaurants are getting crowded &houseful very quickly.suggest you to reach early & reserve a place bit early than the usual lunch time."
Pacific Place Mall,lc wang,4.0,"A high end six storey shopping mall. Strategically located next to apartment building n hotel.
Here you can shop for luxury brand goods n exquisite products from Lafayette, dine in in various restaurants, sipping on coffees or teas, exercise at gym, bring kids to kidzania, do groceries shopping @kemchicks, watching movies at CGV. This maybe the only mall that has boat inside on top of real water. Kinda nice while dine in n listening to the sound of water at the same time. Quite therapeutic really, especially if it is not too crowded.
There is a giant promotion board with height of around five floors just in the middle of the atrium, cool."
Pacific Place Mall,Enjoy Ethiopian,4.0,Still my favorite place to hangout whenever close to SCBD area. Easy to find taxi or grab car. Many food to choose and shopping store. The upper class vibes. And the ship statue area nice for photo and meeting point.
Pacific Place Mall,Stephen Conquer Divine Force / SCDF,5.0,"I have come here thousands of times. I went inside all the stores And bought many cool things that are not available in other malls, ate in all the restaurants, and watched movies from Blits Megaplex to CGV. Its like second home since I was a kid."
Pacific Place Mall,Tia Das,4.0,"Mall closing time : 10 pm sharp

Very luxurious mall, It has all the high end brands here. Loved the shopping experience here. Washrooms are very well maintained."
